"name","sale","brand","base_price","weight","type","category","gender","ground_type","stability","drop","use","rating","1_star","2_star","3_star","4_star","5_star","review_count","is_recommended","news","sole_details","upper","material","use_details","care_instructions","description","base_model"
"V-Kumo Femme","0","Vibram fivefingers","120.0","112","Chaussures minimalistes","Casual","Femme","Route","Guidée","0","Occasionel","3.0","3","0","2","0","3","8","60","False","Semelle intérieure : 2 mm EVA + Doublure en Drilex\\n Semelle extérieure : 3 mm de caoutchouc\\n Composé : Vibram XS Trek","Polyester matelassé","","Trekking, Marche, Escalade, Sport urbain.","Lavage en machine à froid / Séchage à l'air libre","Cette chaussure décontractée de tous les jours est élégante, confortable et offre une sensation maximale au sol. La tige en polyester matelassé est agréable au pied et s'attache bien grâce à une double bande auto-agrippante. La semelle extérieure est en caoutchouc Vibram XS Trek, qui offre une bonne adhérence pour les activités quotidiennes telles que promener le chien, faire les courses ou passer du temps en plein air avec des amis.","v_kumo"
"Spyridon EVO Homme","0","Vibram fivefingers","135.0","141","Chaussures minimalistes","['Trail', 'Running']","Homme","['Route', 'Sentier']","Modérée","0","Intensif","3.5","3","4","4","1","10","22","59","False","Semelle intérieure : 3 mm Polyuréthane + Doublure en Drilex Antimicrobien\\n Semelle extérieure : 3,5 mm de caoutchouc\\n Composé : Vibram Megagrip","Polyester","","Idéale pour courir dans la nature, sur les sentiers ou lors de courses d'obstacles : la chaussure de choix pour se déplacer sur des surfaces imprévisibles.","Lavage en machine à froid / Séchage à l'air libre","Une évolution naturelle de notre chaussure de trail populaire durable, légère et respirante, et dispose désormais d'un système de fermeture sécurisé à sangle auto-agrippante pour une meilleure stabilité. La semelle de cette chaussure de trail robuste est conçue avec la technologie Vibram 3D Cocoon, une fine couche protectrice en maille croisée qui offre une protection légère sur les sentiers et les terrains irréguliers. L'ajout de Vibram Megagrip offre une adhérence supérieure sur les surfaces humides comme sèches. La Spyridon EVO est née pour l'extérieur, idéale pour le trail, les randonnées, les courses d'obstacles et tout ce que Mère Nature peut mettre à vos pieds.","spyridon_evo"
"Spyridon EVO Femme","0","Vibram fivefingers","135.0","141","Chaussures minimalistes","['Trail', 'Running']","Femme","['Route', 'Sentier']","Modérée","0","Intensif","3.9","0","2","2","6","5","15","73","False","Semelle intérieure : 3 mm Polyuréthane + Doublure en Drilex Antimicrobien\\n Semelle extérieure : 3,5 mm de caoutchouc\\n Composé : Vibram Megagrip","Polyester","","Idéale pour courir dans la nature, sur les sentiers ou lors de courses d'obstacles : la chaussure de choix pour se déplacer sur des surfaces imprévisibles.","Lavage en machine à froid / Séchage à l'air libre","Une évolution naturelle de notre chaussure de trail populaire durable, légère et respirante, et dispose désormais d'un système de fermeture sécurisé à sangle auto-agrippante pour une meilleure stabilité. La semelle de cette chaussure de trail robuste est conçue avec la technologie Vibram 3D Cocoon, une fine couche protectrice en maille croisée qui offre une protection légère sur les sentiers et les terrains irréguliers. L'ajout de Vibram Megagrip offre une adhérence supérieure sur les surfaces humides comme sèches. La Spyridon EVO est née pour l'extérieur, idéale pour le trail, les randonnées, les courses d'obstacles et tout ce que Mère Nature peut mettre à vos pieds.","spyridon_evo"
"V-Lynx Homme","0","Vibram fivefingers","150.0","420","Chaussures minimalistes","Casual","Homme","['Route', 'Sentier']","Minimaliste","0","Intensif","3.6","2","1","0","6","3","12","58","False","Semelle intérieure : Polyuréthane souple 4 mm ;\\n Semelle extérieure : 4 mm ;\\n Composant de la semelle : Vibram XS Trek","Matière supérieure hydrofuge et rembourrée, fermeture à glissière thermo-soudée","","","Lavage en machine à froid / Séchage à l'air libre","Ce modèle est équipé d'une semelle intérieure en polyuréthane souple de 4 mm et d'une semelle extérieure flexible en caoutchouc Vibram de 4 mm, dotée du composé de caoutchouc XS TREK pour une traction et une adhérence sur des terrains variés. La tige déperlante et rembourrée garde vos pieds au chaud les jours de bruine, tandis que la fermeture éclair thermo-soudée améliore l'isolation. Parfaite pour le quotidien de l'automne et de l'hiver.","v_lynx"
"V-Lynx Femme","0","Vibram fivefingers","150.0","320","Chaussures minimalistes","Casual","Femme","['Route', 'Sentier']","Minimaliste","0","Intensif","3.8","0","1","0","3","1","5","80","False","Semelle intérieure : Polyuréthane souple 4 mm ;\\n Semelle extérieure : 4 mm ;\\n Composant de la semelle : Vibram XS Trek","Matière supérieure hydrofuge et rembourrée, fermeture à glissière thermo-soudée","","","Lavage en machine à froid / Séchage à l'air libre","Ce modèle est équipé d'une semelle intérieure en polyuréthane souple de 4 mm et d'une semelle extérieure flexible en caoutchouc Vibram de 4 mm, dotée du composé de caoutchouc XS TREK pour une traction et une adhérence sur des terrains variés. La tige déperlante et rembourrée garde vos pieds au chaud les jours de bruine, tandis que la fermeture éclair thermo-soudée améliore l'isolation. Parfaite pour le quotidien de l'automne et de l'hiver.","v_lynx"
"EL-X Knit Homme","0","Vibram fivefingers","125.0","140","Chaussures minimalistes","['Fitness', 'Yoga']","Homme","['Salle']","Modérée","0","Intensif","4.4","1","3","1","4","24","33","91","False","Semelle intérieure : 2 mm EVA\\n Semelle intermédiaire : N/A\\n Caoutchouc : 3 MM","Tissée","","","Lavage en machine à froid / Séchage à l'air libre","Cette version améliorée d'un style populaire allie le confort d'enfilage d'une empeigne tissée souple à une semelle extérieure minimaliste et adhérente. La semelle XS Trek de 3 mm offre un équilibre optimal entre traction et durabilité sur des terrains variés. La EL-X Knit offre une bonne sensation au sol pour ceux qui recherchent une expérience minimaliste, et est idéale pour une use_details au quotidien dans un style décontracté.","el_x_knit"
"EL-X Knit Femme","0","Vibram fivefingers","125.0","110","Chaussures minimalistes","['Fitness', 'Yoga']","Femme","['Salle']","Modérée","0","Intensif","4.6","1","1","2","3","27","34","91","False","Semelle intérieure : 2 mm EVA\\n Semelle intermédiaire : N/A\\n Caoutchouc : 3 MM","Tissée","","","Lavage en machine à froid / Séchage à l'air libre","Cette version améliorée d'un style populaire allie le confort d'enfilage d'une empeigne tissée souple à une semelle extérieure minimaliste et adhérente. La semelle XS Trek de 3 mm offre un équilibre optimal entre traction et durabilité sur des terrains variés. La EL-X Knit offre une bonne sensation au sol pour ceux qui recherchent une expérience minimaliste, et est idéale pour une use_details au quotidien dans un style décontracté.","el_x_knit"
"KOS Vintage Homme","0","Vibram fivefingers","110.0","175","Chaussures minimalistes","Casual","Homme","Route","Guidée","0","Régulier","4.4","2","1","1","9","21","34","84","False","Semelle intérieure : Microfibre en Polyester\\n Semelle intermédiaire : N/A\\n Caoutchouc : 1,5 mm","Polyamide Extensible, Polyester, Polyuréthane","","","Lavage en machine à froid / Séchage à l'air libre","Une nouvelle version d'un classique intemporel, l'édition limitée de la KSO Vintage célèbre le meilleur de ce que les chaussures minimalistes FiveFingers ont à offrir. Le polyamide extensible, fin et résistant et la maille extensible respirante enveloppent votre pied, pour un ajustement confortable qui ne laisse rien entrer. L’empeigne est respirante et à sèche rapidement, pour permettre une use_details dans l'eau ou par temps humide, tandis que le système populaire de fermeture auto-agrippante assure un ajustement sûr. De plus, la semelle extérieure en caoutchouc performant XS Trek, non marquante, est extrêmement polyvalente et offre une excellente adhérence sur les surfaces sèches comme humides. La KSO Vintage est idéale aussi bien pour une use_details quotidienne décontractée que pour des entraînements en salle de sport, et même pour les aventures sur les sentiers. Elle est conçue pour les vrais minimalistes qui veulent se connecter pleinement avec la Terre.","kos_vintage"
"KMD sport","0","Vibram fivefingers","120.0","180","Chaussures minimalistes","['Fitness', 'Running']","Unisexe","Salle","Modérée","0","Régulier","4.6","0","3","4","6","56","70","96","False","Semelle extérieure en caoutchouc de 4 mm\\n Assise plantaire en polyuréthane de 2 mm","","","","Lavage en machine à froid / Séchage à l'air libre","Pensée pour l'athlète d'aujourd'hui, Vibram FiveFingers gagne en intensité avec la Vibram FiveFingers KMD Sport. Cette conception multisports conserve tout ce que nous aimons de la KSO avec des améliorations fonctionnelles qui plaisent aux amateurs de fitness les plus actifs. Pour la toute première fois, Vibram présente une semelle de 2 mm sans couture pour réduire les frottements. Les fermetures auto-agrippantes au talon et sur le cou-de-pied permettent de fixer l’empeigne en nylon extensible aux contours de votre pied, comme une seconde peau. La KMD Sport ne serait pas complète sans une semelle extérieure en caoutchouc Vibram TC1 de 4 mm qui offre l'adhérence et la protection dont vous avez besoin pour une large variété d'activités. Lavage en Machine / Séchage à l'Air Libre.","kmd_sport"
"V-street","0","Vibram fivefingers","215.0","230","Chaussures minimalistes","Casual","Unisexe","Route","Guidée","0","Intensif","3.5","1","2","4","0","5","12","67","False","12mm Total Thickness of sole.​\\n MIDSOLE: 6mm Foam\\n RUBBER: 4mm Rubber","Stretch poly-wool blend with knit-sleeve collar; speed lace system closure.","","Idéal pour la marche urbaine sur des surfaces dures et artificielles.","Lavage en machine à froid / Séchage à l'air libre","Une édition limitée de la collaboration Brandblack® Vibram Fivefingers combine une semelle Vibram Fivefingers confortable avec du caoutchouc Vibram XS Trek. Cette semelle propulse et amortit, ce qui en fait le choix idéal pour les promenades urbaines. La conception lisse de la tige associe les meilleurs matériaux : une tige en laine mélangée pour une saisonnalité maximale, et un col de chaussette extensible pour un confort ajusté.","v_street"
